Activity Level,Health Condition,Meal Type,Dish Name,Calories (in g),Protein (in g),Diet Type,Budget,BMI Goal
Lightly Active,Constipation,Breakfast,Banana Oats Smoothie,230,6,Veg,Low,Decrease BMI
Lightly Active,Constipation,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Constipation,Breakfast,Yogurt with Chia and Berries,280,11,Veg,Medium,Maintain BMI
Lightly Active,Constipation,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Constipation,Dinner,Vegetable Biryani with Yogurt,580,18,Veg,High,Increase BMI
Lightly Active,Constipation,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Constipation,Dinner,Masoor Dal Soup with Toasted Bread,250,10,Veg,Low,Decrease BMI
Lightly Active,Constipation,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Constipation,Dinner,Lentil and Vegetable Casserole,470,22,Veg,Medium,Increase BMI
Lightly Active,Constipation,Lunch,Prawn Masala Curry,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Constipation,Lunch,Avocado and Chickpea Salad,520,18,Veg,High,Increase BMI
Lightly Active,Constipation,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Constipation,Lunch,Rajma (Kidney Beans) with Rice,410,15,Veg,Low,Maintain BMI
Lightly Active,Constipation,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Constipation,Lunch,Whole Wheat Pasta with Vegetables,520,16,Veg,Medium,Increase BMI
Lightly Active,Diabetes,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Diabetes,Breakfast,Greek Yogurt Parfait with Nuts,380,17,Veg,High,Increase BMI
Lightly Active,Diabetes,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Diabetes,Breakfast,Moong Dal Chilla,260,11,Veg,Low,Decrease BMI
Lightly Active,Diabetes,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Breakfast,Besan Cheela with Paneer Filling,310,14,Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Diabetes,Dinner,Cauliflower Rice with Tofu Stir Fry,390,20,Veg,High,Increase BMI
Lightly Active,Diabetes,Dinner,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Diabetes,Dinner,Lauki (Bottle Gourd) Curry with Roti,260,7,Veg,Low,Decrease BMI
Lightly Active,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Dinner,Zucchini Noodles with Tofu and Pesto,400,20,Veg,Medium,Increase BMI
Lightly Active,Diabetes,Lunch,Fish Tikka Platter,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Diabetes,Lunch,Grilled Tofu with Stir-Fried Vegetables,480,25,Veg,High,Increase BMI
Lightly Active,Diabetes,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Diabetes,Lunch,Mixed Vegetable Sabzi with Roti,350,12,Veg,Low,Maintain BMI
Lightly Active,Diabetes,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Diabetes,Lunch,Grilled Tofu with Stir-Fried Vegetables,480,22,Veg,Medium,Increase BMI
Lightly Active,Fine,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Fine,Breakfast,Protein Waffles with Maple Syrup,450,20,Veg,High,Increase BMI
Lightly Active,Fine,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Fine,Breakfast,Vegetable Paratha with Curd,320,10,Veg,Low,Maintain BMI
Lightly Active,Fine,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Fine,Breakfast,Grilled Cheese and Tomato Sandwich,360,15,Veg,Medium,Maintain BMI
Lightly Active,Fine,Dinner,Chicken Shawarma with Hummus,650,38,Non-Veg,High,Increase BMI
Lightly Active,Fine,Dinner,Vegetable Couscous,250,10,Veg,High,Decrease BMI
Lightly Active,Fine,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Fine,Dinner,Paneer Tikka with Chapati,320,20,Veg,Low,Maintain BMI
Lightly Active,Fine,Dinner,Stuffed Bell Peppers with Chicken,540,27,Non-Veg,Medium,Increase BMI
Lightly Active,Fine,Dinner,Chickpea Spinach Curry,250,10,Veg,Medium,Decrease BMI
Lightly Active,Fine,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,High,Maintain BMI
Lightly Active,Fine,Lunch,Spicy Paneer and Vegetable Skewers,600,25,Veg,High,Increase BMI
Lightly Active,Fine,Lunch,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Fine,Lunch,Vegetable Biryani with Raita,460,12,Veg,Low,Maintain BMI
Lightly Active,Fine,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Fine,Lunch,Paneer Tikka with Quinoa Pulao,560,24,Veg,Medium,Increase BMI
Lightly Active,High BP,Breakfast,Smoked Salmon with Avocado Toast,360,19,Non-Veg,High,Increase BMI
Lightly Active,High BP,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,High,Decrease BMI
Lightly Active,High BP,Breakfast,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,High BP,Breakfast,Vegetable Poha,250,7,Veg,Low,Decrease BMI
Lightly Active,High BP,Breakfast,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,High BP,Breakfast,Masala Oats with Vegetables,280,9,Veg,Medium,Decrease BMI
Lightly Active,High BP,Dinner,Baked Chicken with Sweet Potatoes,450,32,Non-Veg,High,Increase BMI
Lightly Active,High BP,Dinner,Vegetable Couscous,250,10,Veg,High,Decrease BMI
Lightly Active,High BP,Dinner,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,High BP,Dinner,Vegetable Dalia (Broken Wheat),250,8,Veg,Low,Decrease BMI
Lightly Active,High BP,Dinner,Steamed Fish with Broccoli and Sweet Potato,420,26,Non-Veg,Medium,Maintain BMI
Lightly Active,High BP,Dinner,Vegetable Couscous,250,10,Veg,Medium,Decrease BMI
Lightly Active,High BP,Lunch,Grilled Salmon with Quinoa Salad,550,30,Non-Veg,High,Maintain BMI
Lightly Active,High BP,Lunch,Quinoa Veg Pilaf,250,10,Veg,High,Decrease BMI
Lightly Active,High BP,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,High BP,Lunch,Brown Rice with Moong Dal,360,15,Veg,Low,Maintain BMI
Lightly Active,High BP,Lunch,Grilled Salmon with Quinoa Salad,530,30,Non-Veg,Medium,Maintain BMI
Lightly Active,High BP,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Decrease BMI
Lightly Active,Low BP,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,High,Increase BMI
Lightly Active,Low BP,Breakfast,Peanut Butter Protein Shake,400,18,Veg,High,Increase BMI
Lightly Active,Low BP,Breakfast,Turkey and Avocado Salad,300,15,Non-Veg,Low,Increase BMI
Lightly Active,Low BP,Breakfast,Peanut Chikki with Milk,280,9,Veg,Low,Increase BMI
Lightly Active,Low BP,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Low BP,Breakfast,Almond Milk with Dates,320,10,Veg,Medium,Increase BMI
Lightly Active,Low BP,Dinner,Grilled Tuna with Kale Salad,700,40,Non-Veg,High,Increase BMI
Lightly Active,Low BP,Dinner,Quinoa Veg Pilaf,250,10,Veg,High,Maintain BMI
Lightly Active,Low BP,Dinner,Scrambled Eggs with Chapati,280,14,Non-Veg,Low,Increase BMI
Lightly Active,Low BP,Dinner,Mushroom Paneer Wrap,250,10,Veg,Low,Maintain BMI
Lightly Active,Low BP,Dinner,Grilled Lamb Chops with Couscous,650,32,Non-Veg,Medium,Increase BMI
Lightly Active,Low BP,Dinner,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Lightly Active,Low BP,Lunch,Lamb Stew with Whole Wheat Bread,650,35,Non-Veg,High,Increase BMI
Lightly Active,Low BP,Lunch,Grilled Vegetable Sandwich,250,10,Veg,High,Maintain BMI
Lightly Active,Low BP,Lunch,Chicken Curry with Chapati,400,18,Non-Veg,Low,Increase BMI
Lightly Active,Low BP,Lunch,Vegetable Couscous,250,10,Veg,Low,Maintain BMI
Lightly Active,Low BP,Lunch,Lamb Curry with Steamed Rice,600,32,Non-Veg,Medium,Increase BMI
Lightly Active,Low BP,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Maintain BMI
Lightly Active,Migraine,Breakfast,Turkey and Spinach Omelette,400,22,Non-Veg,High,Maintain BMI
Lightly Active,Migraine,Breakfast,Vegetable Couscous,250,10,Veg,High,Decrease BMI
Lightly Active,Migraine,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Migraine,Breakfast,Upma with Coconut Chutney,250,6,Veg,Low,Decrease BMI
Lightly Active,Migraine,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Lightly Active,Migraine,Breakfast,Idli with Sambhar,310,8,Veg,Medium,Maintain BMI
Lightly Active,Migraine,Dinner,Grilled Tuna with Quinoa,600,35,Non-Veg,High,Maintain BMI
Lightly Active,Migraine,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,High,Decrease BMI
Lightly Active,Migraine,Dinner,Baked Fish with Vegetables,280,18,Non-Veg,Low,Maintain BMI
Lightly Active,Migraine,Dinner,Grilled Vegetable Sandwich,250,10,Veg,Low,Decrease BMI
Lightly Active,Migraine,Dinner,Grilled Sea Bass with Quinoa,550,29,Non-Veg,Medium,Maintain BMI
Lightly Active,Migraine,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Decrease BMI
Lightly Active,Migraine,Lunch,Smoked Salmon Salad,550,28,Non-Veg,High,Maintain BMI
Lightly Active,Migraine,Lunch,Mushroom Paneer Wrap,250,10,Veg,High,Decrease BMI
Lightly Active,Migraine,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Lightly Active,Migraine,Lunch,Lentil Soup with Toast,390,14,Veg,Low,Maintain BMI
Lightly Active,Migraine,Lunch,Tuna Salad with Avocado,530,27,Non-Veg,Medium,Maintain BMI
Lightly Active,Migraine,Lunch,Vegetable Couscous,250,10,Veg,Medium,Decrease BMI
Very Active,Arthritis,Breakfast,Prawn Masala Curry,300,15,Non-Veg,High,Increase BMI
Very Active,Arthritis,Breakfast,"Quinoa Bowl with Almond Milk, Nuts & Seeds",470,18,Veg,High,Increase BMI
Very Active,Arthritis,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Low,Increase BMI
Very Active,Arthritis,Breakfast,Millet Porridge with Fruits,310,11,Veg,Low,Increase BMI
Very Active,Arthritis,Breakfast,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Arthritis,Breakfast,Quinoa Upma with Mixed Veggies,380,12,Veg,Medium,Maintain BMI
Very Active,Arthritis,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,High,Increase BMI
Very Active,Arthritis,Dinner,Mushroom Risotto with Spinach and Pine Nuts,600,20,Veg,High,Increase BMI
Very Active,Arthritis,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Very Active,Arthritis,Dinner,Vegetable Oats Khichdi with Buttermilk,450,15,Veg,Low,Maintain BMI
Very Active,Arthritis,Dinner,Prawn Masala Curry,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Arthritis,Dinner,Bajra Khichdi with Curd and Greens,490,17,Veg,Medium,Maintain BMI
Very Active,Arthritis,Lunch,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Very Active,Arthritis,Lunch,Chickpea-Avocado Buddha Bowl,620,24,Veg,High,Increase BMI
Very Active,Arthritis,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Very Active,Arthritis,Lunch,Khichdi with Curd and Salad,470,14,Veg,Low,Maintain BMI
Very Active,Arthritis,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Arthritis,Lunch,Rajma-Quinoa Bowl with Curd,540,20,Veg,Medium,Maintain BMI
Very Active,Asthma,Breakfast,Scrambled Eggs with Avocado & Turkey Bacon,520,30,Non-Veg,High,Increase BMI
Very Active,Asthma,Breakfast,Mushroom Paneer Wrap,250,10,Veg,High,Increase BMI
Very Active,Asthma,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Very Active,Asthma,Breakfast,Vegetable Poha with Nuts,330,9,Veg,Low,Maintain BMI
Very Active,Asthma,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Asthma,Breakfast,Greek Yogurt Bowl with Fruits and Granola,370,17,Veg,Medium,Maintain BMI
Very Active,Asthma,Dinner,Roasted Turkey Breast with Green Beans and Sweet Potato,630,32,Non-Veg,High,Increase BMI
Very Active,Asthma,Dinner,Grilled Vegetable Sandwich,250,10,Veg,High,Increase BMI
Very Active,Asthma,Dinner,Roasted Chicken with Carrot & Peas,480,30,Non-Veg,Low,Maintain BMI
Very Active,Asthma,Dinner,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Very Active,Asthma,Dinner,Grilled Chicken with Carrot & Beet Salad,540,30,Non-Veg,Medium,Maintain BMI
Very Active,Asthma,Dinner,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Very Active,Asthma,Lunch,Turkey Breast with Quinoa & Roasted Zucchini,670,35,Non-Veg,High,Increase BMI
Very Active,Asthma,Lunch,Quinoa Veg Pilaf,250,10,Veg,High,Increase BMI
Very Active,Asthma,Lunch,Grilled Chicken with Whole Grain Roti,500,30,Non-Veg,Low,Maintain BMI
Very Active,Asthma,Lunch,Vegetable Couscous,250,10,Veg,Low,Maintain BMI
Very Active,Asthma,Lunch,Turkey Mince with Barley Salad,560,30,Non-Veg,Medium,Maintain BMI
Very Active,Asthma,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Maintain BMI
Very Active,Back Pain,Breakfast,Chicken & Spinach Breakfast Wrap,550,32,Non-Veg,High,Increase BMI
Very Active,Back Pain,Breakfast,Vegetable Couscous,250,10,Veg,High,Increase BMI
Very Active,Back Pain,Breakfast,Egg Bhurji with Multigrain Toast,380,20,Non-Veg,Low,Maintain BMI
Very Active,Back Pain,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,Low,Maintain BMI
Very Active,Back Pain,Breakfast,Chicken Sausage with Scrambled Eggs,460,26,Non-Veg,Medium,Maintain BMI
Very Active,Back Pain,Breakfast,Quinoa Veg Pilaf,250,10,Veg,Medium,Maintain BMI
Very Active,Back Pain,Dinner,Lobster Tail with Asparagus and Lemon Butter,720,34,Non-Veg,High,Increase BMI
Very Active,Back Pain,Dinner,Chickpea Spinach Curry,250,10,Veg,High,Increase BMI
Very Active,Back Pain,Dinner,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Very Active,Back Pain,Dinner,Paneer Bhurji with Multigrain Chapati,470,25,Veg,Low,Maintain BMI
Very Active,Back Pain,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Back Pain,Dinner,Soya and Broccoli Stir Fry with Brown Rice,520,23,Veg,Medium,Maintain BMI
Very Active,Back Pain,Lunch,Prawn Curry with Basmati Rice and Side Salad,680,30,Non-Veg,High,Increase BMI
Very Active,Back Pain,Lunch,Tofu Stir-Fry Bowl,250,10,Veg,High,Increase BMI
Very Active,Back Pain,Lunch,Fish Tikka Platter,300,15,Non-Veg,Low,Maintain BMI
Very Active,Back Pain,Lunch,Soya Bhurji with Millet Roti,480,22,Veg,Low,Maintain BMI
Very Active,Back Pain,Lunch,Grilled Fish with Veggie Stir-fry,590,26,Non-Veg,Medium,Maintain BMI
Very Active,Back Pain,Lunch,Chickpea Spinach Curry,250,10,Veg,Medium,Maintain BMI
Very Active,Constipation,Breakfast,Egg and Cheese Muffin,300,15,Non-Veg,High,Increase BMI
Very Active,Constipation,Breakfast,"Berry Smoothie Bowl with Flax, Almond Butter & Oats",440,17,Veg,High,Increase BMI
Very Active,Constipation,Breakfast,Chicken Brown Rice Bowl,300,15,Non-Veg,Low,Maintain BMI
Very Active,Constipation,Breakfast,"Green Smoothie (Spinach, Kiwi, Flax)",300,8,Veg,Low,Maintain BMI
Very Active,Constipation,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Constipation,Breakfast,"Smoothie Bowl with Spinach, Apple & Chia",370,12,Veg,Medium,Maintain BMI
Very Active,Constipation,Dinner,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Very Active,Constipation,Dinner,Lentil & Vegetable Bake with Olive Oil Drizzle,570,25,Veg,High,Increase BMI
Very Active,Constipation,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Low,Maintain BMI
Very Active,Constipation,Dinner,Vegetable Soup with Bajra Khakhra,420,14,Veg,Low,Maintain BMI
Very Active,Constipation,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Constipation,Dinner,Lentil Soup with Flax Bread,460,18,Veg,Medium,Maintain BMI
Very Active,Constipation,Lunch,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Very Active,Constipation,Lunch,"Whole Wheat Pasta with Spinach, Zucchini & Olives",610,22,Veg,High,Increase BMI
Very Active,Constipation,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Very Active,Constipation,Lunch,Vegetable Pulao with Moong Dal,460,16,Veg,Low,Maintain BMI
Very Active,Constipation,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Constipation,Lunch,Vegetable-Lentil Casserole,530,20,Veg,Medium,Maintain BMI
Very Active,Diabetes,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Very Active,Diabetes,Breakfast,"Greek Yogurt with Chia, Walnuts & Mixed Berries",430,20,Veg,High,Increase BMI
Very Active,Diabetes,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Very Active,Diabetes,Breakfast,Moong Dal Pancakes,340,15,Veg,Low,Maintain BMI
Very Active,Diabetes,Breakfast,Fish Tikka Platter,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Diabetes,Breakfast,Chia Seed Pudding with Berries and Almonds,390,14,Veg,Medium,Maintain BMI
Very Active,Diabetes,Dinner,Fish Tikka Platter,300,15,Non-Veg,High,Increase BMI
Very Active,Diabetes,Dinner,Zucchini Noodles with Grilled Tofu and Pesto,500,24,Veg,High,Increase BMI
Very Active,Diabetes,Dinner,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Very Active,Diabetes,Dinner,Tinda Masala with Jowar Roti,400,13,Veg,Low,Maintain BMI
Very Active,Diabetes,Dinner,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Diabetes,Dinner,Moong Dal Dhokla with Mint Chutney,460,19,Veg,Medium,Maintain BMI
Very Active,Diabetes,Lunch,Prawn Masala Curry,300,15,Non-Veg,High,Increase BMI
Very Active,Diabetes,Lunch,Grilled Tofu with Stir-Fried Veggies & Brown Rice,600,26,Veg,High,Increase BMI
Very Active,Diabetes,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Low,Maintain BMI
Very Active,Diabetes,Lunch,Bajra Roti with Mixed Dal,460,18,Veg,Low,Maintain BMI
Very Active,Diabetes,Lunch,Chicken Brown Rice Bowl,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Diabetes,Lunch,Stir-Fried Vegetables with Tofu & Brown Rice,510,22,Veg,Medium,Maintain BMI
Very Active,Fine,Breakfast,Grilled Chicken Wrap,300,15,Non-Veg,High,Increase BMI
Very Active,Fine,Breakfast,Protein Pancakes with Greek Yogurt & Maple Drizzle,560,24,Veg,High,Increase BMI
Very Active,Fine,Breakfast,Prawn Masala Curry,300,15,Non-Veg,Low,Maintain BMI
Very Active,Fine,Breakfast,Paneer Sandwich with Tomato Chutney,390,17,Veg,Low,Maintain BMI
Very Active,Fine,Breakfast,Vegetable Omelette with Cheese,450,22,Non-Veg,Medium,Maintain BMI
Very Active,Fine,Breakfast,Tofu Stir-Fry Bowl,250,10,Veg,Medium,Maintain BMI
Very Active,Fine,Dinner,Stuffed Bell Peppers with Chicken and Barley,660,30,Non-Veg,High,Increase BMI
Very Active,Fine,Dinner,Quinoa Veg Pilaf,250,10,Veg,High,Increase BMI
Very Active,Fine,Dinner,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Very Active,Fine,Dinner,Dal Fry with Jeera Rice and Salad,500,20,Veg,Low,Maintain BMI
Very Active,Fine,Dinner,Turkey and Avocado Salad,300,15,Non-Veg,Medium,Maintain BMI
Very Active,Fine,Dinner,Chole with Brown Rice and Salad,550,21,Veg,Medium,Maintain BMI
Very Active,Fine,Lunch,Turkey and Avocado Salad,300,15,Non-Veg,High,Increase BMI
Very Active,Fine,Lunch,Paneer Tikka with Couscous and Mint Yogurt,670,28,Veg,High,Increase BMI
Very Active,Fine,Lunch,Egg and Cheese Muffin,300,15,Non-Veg,Low,Maintain BMI
Very Active,Fine,Lunch,Rajma with Brown Rice,500,20,Veg,Low,Maintain BMI
Very Active,Fine,Lunch,Grilled Chicken Wrap,300,15,Non-Veg,Medium,Maintain BMI
